,color,weight,movability,material,shape,size,name,picking,powering,disassembly
98,6,2,1,1,1,2,13,1,1,1
99,1,1,1,4,3,1,6,1,1,1
100,5,1,1,3,3,2,8,1,1,1
101,7,2,1,1,3,2,11,2,1,1
102,5,1,1,3,2,2,20,1,1,1
103,10,1,1,4,2,2,20,1,1,1
104,5,1,1,3,3,2,8,1,1,1
105,5,1,1,3,3,2,8,1,1,1
106,7,2,1,1,3,2,11,2,1,1
107,6,1,1,4,2,2,20,1,1,1
108,8,1,1,4,2,2,20,1,1,1
109,8,2,1,1,3,2,11,2,1,1
110,9,2,1,1,4,1,3,1,1,1
111,8,3,2,2,5,3,19,3,2,2
112,5,1,1,3,2,2,20,1,1,1
113,8,3,2,2,5,3,19,3,2,2
114,5,1,1,3,3,2,8,1,1,1
115,5,1,1,3,2,2,20,1,1,1
116,7,1,1,2,2,1,15,2,1,1
117,3,3,2,4,3,3,2,3,2,3
118,6,1,1,4,3,2,18,1,1,3
119,10,2,1,5,2,3,4,1,1,1
120,5,1,1,3,3,2,8,1,1,1
121,2,3,2,2,5,3,19,3,2,2
122,4,1,1,6,5,3,4,1,1,1
123,10,2,1,5,5,3,4,1,1,1
124,2,1,1,2,6,1,7,1,1,1
125,2,1,1,2,3,2,18,1,1,3
126,5,1,1,3,2,2,20,1,1,1
127,8,2,1,1,3,2,11,2,1,1
128,2,1,1,2,6,1,17,1,1,1
129,6,3,2,4,3,3,2,3,2,3
130,5,1,1,3,3,1,8,1,1,1
131,10,2,1,1,3,1,11,2,1,1
132,7,1,1,2,2,1,15,2,1,1
133,2,1,1,2,2,1,15,2,1,1
134,7,3,1,2,2,3,12,2,1,2
135,12,1,1,4,5,3,4,1,1,1
136,1,2,1,1,3,2,11,2,1,1
137,8,2,1,1,3,2,11,2,1,1
138,8,2,1,2,3,2,18,1,1,3
139,8,1,1,4,3,2,8,1,1,1
140,3,1,1,4,2,2,20,1,1,1
141,5,1,1,3,2,2,20,1,1,1
142,3,1,1,4,3,2,8,1,1,1
143,6,1,1,6,5,3,4,1,1,1
144,5,1,1,3,3,2,8,1,1,1
145,5,1,1,3,3,2,8,1,1,1
146,2,1,1,2,6,1,17,1,1,1
147,8,3,2,2,5,3,19,3,2,2
148,2,1,1,2,3,2,18,1,1,3
149,2,1,1,2,2,1,15,2,1,1
150,5,1,1,3,2,2,20,1,1,1
151,3,2,1,2,3,2,18,1,1,3
152,8,3,2,2,5,3,19,3,2,2
153,5,1,1,3,2,2,20,1,1,1
154,9,1,1,4,2,2,6,1,1,1
155,5,1,1,3,2,2,20,1,1,1
156,2,1,1,2,6,1,17,1,1,1
157,5,1,1,3,5,2,8,1,1,1
158,5,1,1,3,3,2,8,1,1,1
159,8,3,2,2,5,3,19,3,2,2
160,4,2,1,1,3,2,11,2,1,1
161,3,1,1,2,3,2,16,1,1,1
162,9,2,1,1,4,1,3,1,1,1
163,2,1,1,2,3,2,18,1,1,3
164,10,3,2,4,2,3,2,3,2,3
165,3,1,1,4,3,2,18,1,1,3
166,5,1,1,3,3,1,8,1,1,1
167,12,3,2,2,2,3,9,2,1,2
168,7,3,1,2,2,3,14,2,1,3
169,2,1,1,2,6,1,17,1,1,1
170,5,1,1,3,5,2,8,1,1,1
171,3,3,2,4,3,3,2,3,2,3
172,9,3,2,4,2,3,5,3,2,3
173,5,1,1,3,3,2,8,1,1,1
174,5,1,1,3,2,2,20,1,1,1
175,2,3,1,2,3,2,14,2,1,3
176,4,2,1,2,3,2,18,1,1,3
177,2,1,1,2,6,1,7,1,1,1
178,7,1,1,2,2,1,15,2,1,1
179,10,2,1,1,4,2,3,1,1,1
180,11,1,1,2,1,2,1,1,1,1
181,2,1,1,2,6,1,10,1,1,1
182,3,1,1,4,3,1,8,1,1,1
183,2,1,1,2,3,2,18,1,1,3
184,5,1,1,3,2,2,20,1,1,1
185,2,1,1,2,6,1,7,1,1,1
186,2,1,1,2,6,1,10,1,1,1
187,5,1,1,3,3,2,8,1,1,1
188,5,1,1,3,3,2,8,1,1,1
189,2,3,2,2,5,3,19,3,2,2
190,5,1,1,3,3,2,8,1,1,1
191,10,3,2,4,2,3,2,3,2,3
192,9,1,1,4,2,2,6,1,1,1
193,5,1,1,3,2,2,20,1,1,1
194,9,2,1,1,4,1,3,1,1,1
195,8,2,1,1,3,2,11,2,1,1
196,4,2,1,2,3,2,18,1,1,3
197,5,1,1,3,3,2,8,1,1,1
198,5,1,1,3,2,2,20,1,1,1
199,2,3,2,2,2,3,9,2,2,2
200,9,2,1,1,4,1,3,1,1,1
201,8,2,1,1,3,2,11,2,1,1
202,7,1,1,2,2,1,15,2,1,1
203,2,1,1,2,6,1,7,1,1,1
204,5,1,1,3,3,2,8,1,1,1
205,8,3,2,2,2,3,9,2,1,2
206,8,1,1,4,3,2,18,1,1,3
207,4,1,1,4,3,1,6,1,1,1
208,7,2,1,1,3,2,11,2,1,1
209,5,1,1,3,3,2,8,1,1,1
210,8,1,1,4,3,1,6,1,1,1
211,2,1,1,2,6,1,10,1,1,1
212,6,2,1,1,1,2,13,1,1,1
213,10,2,1,2,3,2,18,1,1,3
214,5,1,1,3,3,2,8,1,1,1
215,4,3,2,2,2,3,9,2,1,2
216,10,2,1,2,2,3,12,2,1,2
217,9,3,2,4,2,3,5,3,2,3
218,5,1,1,3,2,2,20,1,1,1
219,2,1,1,2,6,1,7,1,1,1
220,8,1,1,4,3,2,8,1,1,1
221,1,2,1,1,3,1,11,2,1,1
222,2,3,2,2,5,3,19,3,2,2
223,3,1,1,4,5,3,4,1,1,1
224,2,1,1,2,6,1,10,1,1,1
225,10,1,1,4,3,2,8,1,1,1
226,7,3,1,2,2,3,14,2,1,3
227,1,2,1,1,1,1,13,1,1,1
228,6,1,1,4,3,2,18,1,1,3
229,9,3,2,4,2,3,5,3,2,3
230,7,3,2,4,3,3,5,3,2,3
231,7,1,1,2,2,1,15,2,1,1
232,2,1,1,2,2,1,15,2,1,1
233,5,1,1,3,3,2,8,1,1,1
234,7,3,1,2,2,3,12,2,1,2
235,5,1,1,3,3,2,8,1,1,1
236,11,1,1,2,1,3,1,1,1,1
237,4,1,1,2,3,2,16,1,1,1
238,7,3,2,4,3,3,5,3,2,3
239,8,2,1,1,1,1,13,1,1,1
240,2,1,1,2,3,2,18,1,1,3
241,8,1,1,2,3,2,16,1,1,1
242,2,1,1,2,6,1,10,1,1,1
243,3,2,1,1,1,1,13,1,1,1
244,2,1,1,2,6,1,7,1,1,1
245,9,1,1,4,6,1,10,1,1,1
246,7,1,1,2,2,1,15,2,1,1
247,5,1,1,3,5,2,8,1,1,1
248,4,3,2,4,3,3,2,3,2,3
249,4,3,2,2,2,3,9,2,1,2
250,7,3,2,4,3,3,5,3,2,3
251,2,1,1,2,6,1,17,1,1,1
252,10,1,1,2,3,2,16,1,1,1
253,2,3,2,2,5,3,19,3,2,2
254,2,1,1,2,6,1,10,1,1,1
255,9,2,1,1,1,2,13,1,1,1
256,2,3,2,2,2,3,9,2,2,2
257,7,2,1,1,3,2,11,2,1,1
258,4,1,1,4,3,2,8,1,1,1
259,2,1,1,2,6,1,7,1,1,1
260,2,3,2,2,5,3,19,3,2,2
261,5,1,1,3,3,2,8,1,1,1
262,10,2,1,5,5,2,4,1,1,1
263,1,1,1,4,3,2,18,1,1,3
264,5,1,1,3,3,1,8,1,1,1
265,6,1,1,4,3,1,6,1,1,1
266,2,1,1,2,2,1,15,2,1,1
267,4,1,1,4,3,2,8,1,1,1
268,5,1,1,3,3,2,8,1,1,1
269,2,1,1,2,6,1,17,1,1,1
270,3,3,2,2,2,3,9,2,1,2
271,2,1,1,2,6,1,10,1,1,1
272,9,1,1,4,6,1,7,1,1,1
273,9,2,1,1,1,2,13,1,1,1
274,9,2,1,1,4,1,3,1,1,1
275,5,1,1,3,3,2,8,1,1,1
276,10,2,1,5,2,3,4,1,1,1
277,8,2,1,1,3,2,11,2,1,1
278,2,1,1,2,6,1,10,1,1,1
279,2,1,1,2,6,1,7,1,1,1
280,9,1,1,4,6,1,17,1,1,1
281,9,1,1,4,6,1,7,1,1,1
282,4,1,1,4,5,3,4,1,1,1
283,8,1,1,4,2,2,20,1,1,1
284,2,3,2,2,5,3,19,3,2,2
285,9,1,1,4,6,1,17,1,1,1
286,9,1,1,4,2,2,6,1,1,1
287,5,1,1,3,3,2,8,1,1,1
288,5,1,1,3,3,2,8,1,1,1
289,2,1,1,2,3,2,18,1,1,3
290,5,1,1,3,3,2,8,1,1,1
291,8,3,2,2,2,3,9,2,1,2
292,7,3,1,2,2,3,14,2,1,3
293,7,2,1,1,3,2,11,2,1,1
294,5,1,1,3,3,2,8,1,1,1
295,5,1,1,3,2,2,20,1,1,1
296,4,1,1,6,5,3,4,1,1,1
297,8,3,2,2,5,3,19,3,2,2
298,9,1,1,4,6,1,7,1,1,1
299,8,3,2,2,5,3,19,3,2,2
300,3,2,1,1,1,1,13,1,1,1
301,7,1,1,2,2,1,15,2,1,1
302,1,1,1,2,3,2,16,1,1,1
303,12,1,1,4,2,2,20,1,1,1
304,2,3,1,2,3,3,14,2,1,3
305,7,1,1,2,2,1,15,2,1,1
306,7,1,1,2,2,1,15,2,1,1
307,5,1,1,3,3,2,8,1,1,1
308,10,2,1,1,3,1,11,2,1,1
309,10,2,1,2,2,3,12,2,1,2
310,2,1,1,2,6,1,10,1,1,1
311,1,1,1,4,3,2,8,1,1,1
312,4,1,1,4,2,2,20,1,1,1
313,7,1,1,2,2,1,15,2,1,1
314,9,1,1,4,2,2,6,1,1,1
315,7,1,1,2,2,1,15,2,1,1
316,8,3,2,2,5,3,19,3,2,2
317,2,1,1,2,6,1,10,1,1,1
318,5,1,1,3,2,2,20,1,1,1
319,8,3,2,2,5,3,19,3,2,2
320,8,1,1,2,3,2,16,1,1,1
321,5,1,1,3,3,2,8,1,1,1
322,5,1,1,3,5,2,8,1,1,1
323,6,2,1,1,3,2,11,2,1,1
324,1,1,1,2,3,2,16,1,1,1
325,9,1,1,4,6,1,7,1,1,1
326,2,1,1,2,6,1,7,1,1,1
327,2,1,1,2,6,1,10,1,1,1
328,5,1,1,3,3,1,8,1,1,1
329,2,1,1,2,2,1,15,2,1,1
330,1,2,1,1,3,1,11,2,1,1
331,8,2,1,4,4,2,3,1,1,1
332,1,1,1,4,5,3,4,1,1,1
333,2,1,1,2,3,2,18,1,1,3
334,6,1,1,2,3,2,16,1,1,1
335,10,2,1,1,1,2,13,1,1,1
336,5,2,1,3,4,2,3,1,1,1
337,10,2,1,1,4,2,3,1,1,1
338,6,2,1,1,1,1,13,1,1,1
339,2,1,1,2,6,1,17,1,1,1
340,5,2,1,3,4,2,3,1,1,1
341,5,1,1,3,3,2,8,1,1,1
342,10,3,2,4,2,3,2,3,2,3
343,5,1,1,3,2,2,20,1,1,1
344,9,1,1,4,2,2,6,1,1,1
345,9,3,2,4,2,3,5,3,2,3
346,2,1,1,2,6,1,7,1,1,1
347,7,1,1,2,2,1,15,2,1,1
348,7,2,1,1,3,2,11,2,1,1
349,2,3,2,2,5,3,19,3,2,2
350,9,2,1,1,1,2,13,1,1,1
351,2,1,1,2,6,1,7,1,1,1
352,1,1,1,4,3,2,6,1,1,1
353,7,1,1,2,2,1,15,2,1,1
354,12,2,1,2,3,2,18,1,1,3
355,7,2,1,1,3,2,11,2,1,1
356,5,1,1,3,2,2,20,1,1,1
357,5,1,1,3,2,2,20,1,1,1
358,12,1,1,4,5,3,4,1,1,1
359,6,2,1,1,1,1,13,1,1,1
360,10,2,1,1,3,1,11,2,1,1
361,10,3,2,4,3,3,2,3,2,3
362,9,1,1,4,2,2,6,1,1,1
363,7,1,1,2,2,1,15,2,1,1
364,9,1,1,4,6,1,7,1,1,1
365,5,1,1,3,2,2,20,1,1,1
366,10,2,1,5,5,3,4,1,1,1
367,7,3,1,2,2,3,12,2,1,2
368,2,3,2,2,5,3,19,3,2,2
369,8,2,1,1,3,2,11,2,1,1
370,5,1,1,3,3,2,8,1,1,1
371,10,2,1,1,3,1,11,2,1,1
372,7,1,1,2,2,1,15,2,1,1
373,8,3,2,2,5,3,19,3,2,2
374,5,1,1,3,3,2,8,1,1,1
375,4,2,1,2,3,2,18,1,1,3
376,2,1,1,2,6,1,17,1,1,1
377,5,1,1,3,3,2,8,1,1,1
378,4,1,1,6,1,3,1,1,1,1
379,6,3,2,4,3,3,2,3,2,3
380,7,1,1,2,2,1,15,2,1,1
381,5,1,1,3,3,2,8,1,1,1
382,9,2,1,1,4,1,3,1,1,1
383,5,1,1,3,3,2,8,1,1,1
384,5,1,1,3,2,2,20,1,1,1
385,11,1,1,2,1,3,1,1,1,1
386,10,3,2,4,2,3,2,3,2,3
387,3,2,1,1,1,1,13,1,1,1
388,9,1,1,4,6,1,10,1,1,1
389,12,1,1,4,3,2,18,1,1,3
390,9,2,1,1,1,2,13,1,1,1
391,5,1,1,3,2,2,20,1,1,1
392,8,2,1,1,3,2,11,2,1,1
393,2,1,1,2,2,1,15,2,1,1
394,2,1,1,2,6,1,7,1,1,1
395,2,1,1,2,6,1,17,1,1,1
396,9,2,1,1,1,2,13,1,1,1
397,2,1,1,2,6,1,7,1,1,1
398,1,2,1,1,3,1,11,2,1,1
399,2,1,1,2,6,1,17,1,1,1
400,7,3,1,2,2,3,14,2,1,3
401,10,3,2,4,2,3,2,3,2,3
402,9,3,2,4,2,3,5,3,2,3
403,9,2,1,1,1,2,13,1,1,1
404,2,1,1,2,6,1,7,1,1,1
405,5,1,1,3,3,2,8,1,1,1
406,12,1,1,4,2,2,20,1,1,1
407,8,2,1,1,3,2,11,2,1,1
408,5,1,1,3,3,2,8,1,1,1
409,8,3,2,4,3,3,2,3,2,3
410,10,2,1,2,2,3,12,2,1,2
411,10,2,1,2,2,3,12,2,1,2
412,8,2,1,2,3,2,18,1,1,3
413,7,2,1,1,3,2,11,2,1,1
414,2,1,1,2,6,1,7,1,1,1
415,3,1,1,4,2,2,20,1,1,1
416,8,1,1,2,3,2,16,1,1,1
417,4,2,1,1,3,2,11,2,1,1
418,1,1,1,4,3,2,8,1,1,1
419,10,2,1,2,3,2,18,1,1,3
420,5,1,1,3,3,2,8,1,1,1
421,5,1,1,3,3,2,8,1,1,1
422,2,1,1,2,6,1,7,1,1,1
423,2,1,1,2,6,1,10,1,1,1
424,12,3,2,4,3,3,2,3,2,3
425,7,1,1,2,2,1,15,2,1,1
426,12,3,2,4,3,3,2,3,2,3
427,9,3,2,4,2,3,5,3,2,3
428,5,1,1,3,2,2,20,1,1,1
429,5,1,1,3,3,2,8,1,1,1
430,10,2,1,1,4,2,3,1,1,1
431,4,1,1,4,3,2,8,1,1,1
432,7,1,1,2,2,1,15,2,1,1
433,5,1,1,3,2,2,20,1,1,1
434,2,1,1,2,2,1,15,2,1,1
435,2,3,2,2,5,3,19,3,2,2
436,6,1,1,4,5,3,4,1,1,1
437,4,3,2,4,3,3,2,3,2,3
438,5,1,1,3,3,1,8,1,1,1
439,10,2,1,1,4,2,3,1,1,1
440,5,1,1,3,2,2,20,1,1,1
441,2,1,1,2,6,1,17,1,1,1
442,3,1,1,4,3,2,18,1,1,3
443,10,1,1,2,3,2,16,1,1,1
444,4,2,1,2,3,2,18,1,1,3
445,4,1,1,6,5,3,4,1,1,1
446,10,2,1,1,4,2,3,1,1,1
447,5,1,1,3,3,2,8,1,1,1
448,5,1,1,3,2,2,20,1,1,1
449,8,1,1,4,3,1,8,1,1,1
450,2,1,1,2,6,1,17,1,1,1
451,2,1,1,2,6,1,17,1,1,1
452,9,1,1,4,2,2,6,1,1,1
453,12,2,1,4,4,2,3,1,1,1
454,6,1,1,4,5,3,4,1,1,1
455,2,1,1,2,6,1,10,1,1,1
456,9,1,1,4,6,1,7,1,1,1
457,3,1,1,4,3,2,8,1,1,1
458,4,2,1,2,3,2,18,1,1,3
459,9,2,1,1,4,1,3,1,1,1
460,5,1,1,3,2,2,20,1,1,1
461,7,2,1,1,3,2,11,2,1,1
462,9,1,1,4,6,1,17,1,1,1
463,4,1,1,4,5,3,4,1,1,1
464,2,1,1,2,6,1,17,1,1,1
465,5,1,1,3,2,2,20,1,1,1
466,5,1,1,3,2,2,20,1,1,1
467,9,1,1,4,2,2,6,1,1,1
468,3,1,1,2,3,2,16,1,1,1
469,10,1,1,4,3,2,8,1,1,1
470,1,2,1,4,4,2,3,1,1,1
471,5,1,1,3,2,2,20,1,1,1
472,5,1,1,3,3,2,8,1,1,1
473,6,3,2,4,3,3,2,3,2,3
474,2,1,1,2,6,1,7,1,1,1
475,2,1,1,2,3,2,18,1,1,3
476,8,3,2,2,5,3,19,3,2,2
477,5,1,1,3,2,2,20,1,1,1
478,1,2,1,2,3,2,18,1,1,3
479,2,1,1,2,2,1,15,2,1,1
480,10,1,1,4,3,2,6,1,1,1
481,9,1,1,4,6,1,10,1,1,1
482,5,1,1,3,3,2,8,1,1,1
483,8,1,1,4,3,2,18,1,1,3
484,3,3,2,2,2,3,9,2,1,2
485,5,1,1,3,5,2,8,1,1,1
486,9,1,1,4,6,1,10,1,1,1
487,8,2,1,1,3,2,11,2,1,1
488,5,1,1,3,5,2,8,1,1,1
489,8,3,2,2,5,3,19,3,2,2
490,12,3,2,4,3,3,2,3,2,3
491,10,2,1,5,2,3,4,1,1,1
492,7,3,1,2,2,3,14,2,1,3
493,3,2,1,2,3,2,18,1,1,3
494,5,1,1,3,5,2,8,1,1,1
495,8,2,1,1,3,2,11,2,1,1
496,5,1,1,3,2,2,20,1,1,1
497,7,1,1,2,2,1,15,2,1,1
498,6,2,1,4,4,2,3,1,1,1
499,5,1,1,3,3,2,8,1,1,1
500,5,1,1,3,5,2,8,1,1,1
501,5,1,1,3,5,2,8,1,1,1
502,8,2,1,1,3,2,11,2,1,1
503,5,1,1,3,3,1,8,1,1,1
504,8,2,1,1,3,2,11,2,1,1
505,5,1,1,3,2,2,20,1,1,1
506,2,1,1,2,6,1,17,1,1,1
507,9,1,1,4,6,1,7,1,1,1
508,7,1,1,2,2,1,15,2,1,1
509,1,1,1,4,2,2,20,1,1,1
510,6,3,2,4,3,3,2,3,2,3
511,9,1,1,4,2,2,6,1,1,1
512,2,1,1,2,6,1,7,1,1,1
513,2,1,1,2,6,1,10,1,1,1
514,2,1,1,2,6,1,17,1,1,1
515,5,1,1,3,2,2,20,1,1,1
516,5,1,1,3,2,2,20,1,1,1
517,11,1,1,2,1,3,1,1,1,1
518,9,3,2,4,2,3,5,3,2,3
519,7,2,1,1,3,2,11,2,1,1
520,2,1,1,2,6,1,10,1,1,1
521,12,2,1,1,1,1,13,1,1,1
522,2,1,1,2,6,1,10,1,1,1
523,11,1,1,2,1,3,1,1,1,1
524,2,1,1,2,3,2,18,1,1,3
525,10,2,1,2,3,2,18,1,1,3
526,4,3,2,4,3,3,2,3,2,3
527,2,1,1,2,6,1,10,1,1,1
528,2,3,2,2,2,3,9,2,2,2
529,9,1,1,4,6,1,7,1,1,1
530,8,2,1,1,3,2,11,2,1,1
531,5,1,1,3,5,2,8,1,1,1
532,5,1,1,3,5,2,8,1,1,1
533,12,1,1,4,3,2,18,1,1,3
534,9,2,1,1,1,2,13,1,1,1
535,10,2,1,2,3,2,18,1,1,3
536,5,2,1,3,4,2,3,1,1,1
537,1,1,1,4,3,2,8,1,1,1
538,9,2,1,1,4,2,3,1,1,1
539,5,1,1,3,3,2,8,1,1,1
540,5,1,1,3,2,2,20,1,1,1
541,10,2,1,4,4,2,3,1,1,1
542,5,1,1,3,3,2,8,1,1,1
543,7,2,1,1,3,2,11,2,1,1
544,7,1,1,2,2,1,15,2,1,1
545,5,1,1,3,2,2,20,1,1,1
546,5,1,1,3,3,2,8,1,1,1
547,9,2,1,1,4,2,3,1,1,1
548,5,1,1,3,3,2,8,1,1,1
549,10,2,1,5,2,3,4,1,1,1
550,5,1,1,3,2,2,20,1,1,1
551,3,1,1,4,5,3,4,1,1,1
552,2,3,2,2,2,3,9,2,2,2
553,10,2,1,1,3,1,11,2,1,1
554,1,1,1,6,1,2,1,1,1,1
555,2,1,1,2,6,1,17,1,1,1
556,9,1,1,4,2,2,6,1,1,1
557,9,2,1,1,4,1,3,1,1,1
558,5,1,1,3,3,2,8,1,1,1
559,5,1,1,3,3,2,8,1,1,1
560,6,2,1,2,3,2,18,1,1,3
561,5,1,1,3,3,2,8,1,1,1
562,2,1,1,2,6,1,17,1,1,1
563,8,3,2,2,5,3,19,3,2,2
564,2,1,1,2,6,1,17,1,1,1
565,12,1,1,4,5,3,4,1,1,1
566,10,2,1,4,4,2,3,1,1,1
567,4,1,1,4,3,1,8,1,1,1
568,2,3,2,2,5,3,19,3,2,2
569,3,1,1,4,3,2,8,1,1,1
570,9,2,1,1,4,2,3,1,1,1
571,5,1,1,3,3,2,8,1,1,1
572,5,2,1,3,4,2,3,1,1,1
573,5,1,1,3,5,2,8,1,1,1
574,5,1,1,3,5,2,8,1,1,1
575,9,2,1,1,1,2,13,1,1,1
576,1,3,2,2,2,3,9,2,1,2
577,5,1,1,3,3,2,8,1,1,1
578,5,1,1,3,2,2,20,1,1,1
579,6,3,2,2,2,3,9,2,1,2
580,2,3,2,2,5,3,19,3,2,2
581,2,1,1,2,6,1,17,1,1,1
582,9,1,1,4,6,1,17,1,1,1
583,9,1,1,4,2,2,6,1,1,1
584,9,2,1,1,4,2,3,1,1,1
585,1,1,1,4,3,2,8,1,1,1
586,5,1,1,3,3,2,8,1,1,1
587,5,1,1,3,2,2,20,1,1,1
588,1,2,1,1,3,1,11,2,1,1
589,5,1,1,3,3,2,8,1,1,1
590,2,1,1,2,6,1,10,1,1,1
591,1,2,1,2,3,2,18,1,1,3
592,7,3,1,2,2,3,14,2,1,3
593,12,1,1,2,3,2,16,1,1,1
594,7,2,1,1,3,2,11,2,1,1
595,12,1,1,4,3,1,6,1,1,1
596,1,2,1,4,4,2,3,1,1,1
597,1,1,1,4,2,2,20,1,1,1
598,8,1,1,4,3,2,8,1,1,1
599,8,2,1,1,3,2,11,2,1,1
600,8,1,1,4,2,2,20,1,1,1
601,11,1,1,2,1,3,1,1,1,1
602,8,3,2,2,5,3,19,3,2,2
603,9,1,1,4,6,1,17,1,1,1
604,2,1,1,2,6,1,17,1,1,1
605,2,1,1,2,2,1,15,2,1,1
606,10,3,2,4,2,3,2,3,2,3
607,4,1,1,4,3,2,8,1,1,1
608,8,1,1,4,3,2,18,1,1,3
609,5,1,1,3,3,2,8,1,1,1
610,5,1,1,3,3,2,8,1,1,1
611,9,2,1,1,4,2,3,1,1,1
612,8,2,1,1,3,2,11,2,1,1
613,9,1,1,4,6,1,10,1,1,1
614,2,1,1,2,6,1,7,1,1,1
615,10,3,2,4,2,3,2,3,2,3
616,2,1,1,2,2,1,15,2,1,1
617,5,1,1,3,3,2,8,1,1,1
618,9,2,1,1,4,1,3,1,1,1
619,5,1,1,3,5,2,8,1,1,1
620,6,1,1,4,3,1,6,1,1,1
621,8,1,1,4,2,2,20,1,1,1
622,12,2,1,1,3,1,11,2,1,1
623,3,1,1,2,3,2,16,1,1,1
624,10,3,2,4,2,3,2,3,2,3
625,7,2,1,1,3,2,11,2,1,1
626,5,1,1,3,3,2,8,1,1,1
627,9,2,1,1,4,1,3,1,1,1
628,7,2,1,1,3,2,11,2,1,1
629,9,3,2,4,2,3,5,3,2,3
630,5,1,1,3,3,2,8,1,1,1
631,9,1,1,4,2,2,6,1,1,1
632,5,1,1,3,5,2,8,1,1,1
