,Input,UnstructuredText,StructuredText,Material,Colour,Weight,Volume,Length,Width,Height,Functionality,Button,Lip,Fillability,Movability,Washability,Dismountability,Shape,Handle,name
416,"KingSmonk Motivational Sports Water Bottle - 32oz BPA Free Tritan Drink Bottle with Filter & Time Marker Helps You Hydrate - Fast Flow, Flip Top Leak Proof Lid with One Click Open Yellow Blue
Colour Yellow-blue
Material Plastic
Capacity 907 milliliter
Brand KingSmonk
Motivational Water Bottle with Time Markings KingSmonk ergonomic and practical water bottle with measurements time, which tell how much to drink, help you easily remember to drink the precise amount of water your body needs every day.
100% BPA Free & Healthy Material The drink bottles are made from the toughest and safest BPA Free TRITAN & Co-Polyester plastic, safe to your body and environmentally friendly. Food grade PP material lid and fruit infuser filter, suitable for home school and outdoors.
Easy to Drink & Ergonomic Design The water bottle with flip lid lets you drink directly without the hassle of removing the cap, one-click push button to open easily and unique mouth opening ensures fast flow of water with effortless drinking, will make this spill proof water bottle your favorite fitness companion.
Premium Quality and Durable The high quality leak-proof design of the drink bottle ensures that not a single drop will leak. Easy to carry with a tough carry-strap, the motivational water bottle is perfect for bike, running, hiking, bicycle, yoga, cycling, camping, mountaineering.
Portable & Ideal Gift for Friends 32oz hydrate water bottles with light body, you can carry it everywhere. The fitness sports water bottle with motivational time marker is the best present idea you can think of perfect gift for your friends and conscious.
Manufacturer KingSmonk
Product Dimensions 7.5 x 7.5 x 29 cm; 190 Grams
Colour Yellow-blue
Material Plastic
Batteries included? No
Batteries Required? No
Item Weight 190 g
","KingSmonk Motivational Sports Water Bottle - 32oz BPA Free Tritan Drink Bottle with Filter & Time Marker Helps You Hydrate - Fast Flow, Flip Top Leak Proof Lid with One Click Open Yellow Blue
????otivational Water Bottle with Time Markings?? KingSmonk ergonomic and practical water bottle with measurements time, which tell how much to drink, help you easily remember to drink the precise amount of water your body needs every day.
????00% BPA Free & Healthy Material?? The drink bottles are made from the toughest and safest BPA Free TRITAN & Co-Polyester plastic, safe to your body and environmentally friendly. Food grade PP material lid and fruit infuser filter, suitable for home school and outdoors.
????asy to Drink & Ergonomic Design?? The water bottle with flip lid lets you drink directly without the hassle of removing the cap, one-click push button to open easily and unique mouth opening ensures fast flow of water with effortless drinking, will make this spill proof water bottle your favorite fitness companion.
????remium Quality and Durable?? The high quality leak-proof design of the drink bottle ensures that not a single drop will leak. Easy to carry with a tough carry-strap, the motivational water bottle is perfect for bike, running, hiking, bicycle, yoga, cycling, camping, mountaineering.
????ortable & Ideal Gift for Friends?? 32oz hydrate water bottles with light body, you can carry it everywhere. The fitness sports water bottle with motivational time marker is the best present idea you can think of perfect gift for your friends and conscious.
","Colour Yellow-blue
Material Plastic
Capacity 907 Grams
Brand KingSmonk
Manufacturer KingSmonk
Product Dimensions 7.5 x 7.5 x 29 cm; 190 Grams
Colour Yellow-blue
Material Plastic
Batteries included? No
Batteries Required? No
Item Weight 190 g
",plastic,yellow,190g,907ml,7.5,7.5,29,container,1,1,1,1,1,1,cylindrical,0,bottle
417,"Ion8 Leak Proof Kids' Water Bottle, BPA Free, Football, 400ml
Colour Football
Material Phthalate free, non-toxic, BPA free plastic
Capacity 12 Fluid Ounces
Brand Ion8
100% leak proof BPA free water bottle
hygienic spout cover flips open with one finger and locks closed for safety
vented, smooth liquid flow for rapid hydration
the width of a can, it has a soft feel for grip and fits any handbag, school lunch box or kid?? backpack
these water bottles are made from phthalate free, non-toxic BPA free plastic. Drinks bottle is safe and suitable for hot or cold drinks
Color Football
Size 400ml
Style Kids' Water Bottle
Material type Phthalate free, non-toxic, BPA free plastic
Number of items 1
Seasons All Weather
Sport Exercise & Fitness, Yoga, Swimming
Volume capacity 400 Millilitres
Included components 1 x Drinks Bottle
Batteries included? No
Brand Ion8
Department Children's
Manufacturer ion8
Item model number B08HQN5142
Product Dimensions 7 x 6.5 x 17 cm; 109 Grams
ASIN B08HQN5142
","Ion8 Leak Proof Kids' Water Bottle, BPA Free, Football, 400ml
100% leak proof BPA free water bottle
hygienic spout cover flips open with one finger and locks closed for safety
vented, smooth liquid flow for rapid hydration
the width of a can, it has a soft feel for grip and fits any handbag, school lunch box or kid?? backpack
these water bottles are made from phthalate free, non-toxic BPA free plastic. Drinks bottle is safe and suitable for hot or cold drinks
","Colour Football
Material Phthalate free, non-toxic, BPA free plastic
Capacity 12 Fluid Ounces
Brand Ion8
Color Football
Size 400ml
Style Kids' Water Bottle
Material type Phthalate free, non-toxic, BPA free plastic
Number of items 1
Seasons All Weather
Sport Exercise & Fitness, Yoga, Swimming
Volume capacity 400 Millilitres
Included components 1 x Drinks Bottle
Batteries included? No
Brand Ion8
Department Children's
Manufacturer ion8
Item model number B08HQN5142
Product Dimensions 7 x 6.5 x 17 cm; 109 Grams
ASIN B08HQN5142
",plastic,transparent,109g,400ml,7,6.5,17,container,0,1,1,1,1,1,cylindrical,1,bottle
418,"MIKAMEE Insulated Water Bottles 350ml 500ml 650ml 750ml Metal Water Bottle Bpa Free Leakproof Keep Cold 24 Hrs & 12 Hrs Hot for kids Men Women & Children School| Sports Running Yoga Gym
Colour B Purple
Material Stainless Steel
Capacity 340 Grams
Brand MIKAMEE
??KEEP YOUR DRINKS ICE COLD FOR 24 HOURS OR HOT FOR 12 HOURS ??Our revolutionary double wall vacuum insulation technology isolates its contents from the outside world, ensuring the original temperature is preserved perfectly. Fantastic for iced cold water, tea, coffee, soup, energy drinks, still or fizzy fruit juice and protein shakes.
??ECO FRIENDLY AND 100% FOOD SAFE ??Formed from highest quality rust-resistant 304 food grade stainless steel inside and out, maintaining the taste and purity of your favourite drinks, while providing a healthy, reusable, sustainable alternative to disposable plastic bottles. BPA and phthalate-free.
??LEAK-PROOF AIRTIGHT SCREW TOP LID ??Precision engineering and premium quality materials combine to ensure that our lightweight, rugged bottles will be a reliable companion in the most demanding of adventures. Tested to the most rigorous standards, you can rely on our bottles ??from the spinning class to the Sahara, you won?? sacrifice a drop.
??BOUTIQUE QUALITY - Stylish colours and rare, limited edition designs provide unrivalled opportunities for self-expression, or unique gifts which are sure to be treasured. Constantly evolving, our artists strive to create fresh new designs as individual as you are.
??CONVENIENT AND SUSTAINABLE ??Our comprehensive range of easy-to-carry sizes, combined with easy to clean, hygienic, all stainless steel construction ensures that it has never been easier to choose the perfect bottle ??for you and the planet we all share. Fits most cup holders.
Color Purple
Size 350ml/12oz
Material type Stainless Steel
Seasons Continuity
Sport Camping-&-Hiking
Batteries included? No
Brand MIKAMEE
Department Men's
Manufacturer MIKAMEE
Item model number MKM-191101-077
Package Dimensions 23.2 x 7.3 x 7.3 cm; 238 Grams
ASIN B07ZV2KHVJ
","MIKAMEE Insulated Water Bottles 350ml 500ml 650ml 750ml Metal Water Bottle Bpa Free Leakproof Keep Cold 24 Hrs & 12 Hrs Hot for kids Men Women & Children School| Sports Running Yoga Gym
??KEEP YOUR DRINKS ICE COLD FOR 24 HOURS OR HOT FOR 12 HOURS ??Our revolutionary double wall vacuum insulation technology isolates its contents from the outside world, ensuring the original temperature is preserved perfectly. Fantastic for iced cold water, tea, coffee, soup, energy drinks, still or fizzy fruit juice and protein shakes.
??ECO FRIENDLY AND 100% FOOD SAFE ??Formed from highest quality rust-resistant 304 food grade stainless steel inside and out, maintaining the taste and purity of your favourite drinks, while providing a healthy, reusable, sustainable alternative to disposable plastic bottles. BPA and phthalate-free.
??LEAK-PROOF AIRTIGHT SCREW TOP LID ??Precision engineering and premium quality materials combine to ensure that our lightweight, rugged bottles will be a reliable companion in the most demanding of adventures. Tested to the most rigorous standards, you can rely on our bottles ??from the spinning class to the Sahara, you won?? sacrifice a drop.
??BOUTIQUE QUALITY - Stylish colours and rare, limited edition designs provide unrivalled opportunities for self-expression, or unique gifts which are sure to be treasured. Constantly evolving, our artists strive to create fresh new designs as individual as you are.
??CONVENIENT AND SUSTAINABLE ??Our comprehensive range of easy-to-carry sizes, combined with easy to clean, hygienic, all stainless steel construction ensures that it has never been easier to choose the perfect bottle ??for you and the planet we all share. Fits most cup holders.
","Colour B Purple
Material Stainless Steel
Capacity 340 Grams
Brand MIKAMEE
Color B Purple
Size 350ml/12oz
Material type Stainless Steel
Seasons Continuity
Sport Camping-&-Hiking
Batteries included? No
Brand MIKAMEE
Department Men's
Manufacturer MIKAMEE
Item model number MKM-191101-077
Package Dimensions 23.2 x 7.3 x 7.3 cm; 238 Grams
ASIN B07ZV2KHVJ
",metal,purple,238g,350ml,23.2,7.3,7.3,container,1,1,1,1,1,1,cylindrical,0,bottle
419,"Ion8 Leak Proof Slim Water Bottle, BPA Free, Paint Splat
Colour Ice (Paint Splat)
Material Phthalate free, non-toxic, BPA free plastic
Capacity 500 Millilitres
Brand Ion8
100% leak proof BPA free water bottle
hygienic spout cover flips open with one finger and locks closed for safety
vented, smooth liquid flow for rapid hydration
the width of a can, it has a soft feel for grip and fits any cup holder or backpack
these water bottles are made from phthalate free, non-toxic BPA free plastic. Drinks bottle is safe and suitable for hot or cold drinks
Color Ice (Paint Splat)
Size 600 ml
Style Slim Water Bottle
Material type Phthalate free, non-toxic, BPA free plastic
Number of items 1
Seasons All Weather
Sport Golf, Exercise & Fitness, Running
Volume capacity 600 Millilitres
Included components 1 x Drinks Bottle
Batteries included? No
Brand Ion8
Department Children's
Manufacturer ion8
Item model number B08HQMSDCQ
Product Dimensions 7 x 6.5 x 23 cm; 141 Grams
ASIN B08HQMSDCQ
","Ion8 Leak Proof Slim Water Bottle, BPA Free, Paint Splat
100% leak proof BPA free water bottle
hygienic spout cover flips open with one finger and locks closed for safety
vented, smooth liquid flow for rapid hydration
the width of a can, it has a soft feel for grip and fits any cup holder or backpack
these water bottles are made from phthalate free, non-toxic BPA free plastic. Drinks bottle is safe and suitable for hot or cold drinks
","Colour Ice (Paint Splat)
Material Phthalate free, non-toxic, BPA free plastic
Capacity 500 Millilitres
Brand Ion8
Color Ice (Paint Splat)
Size 600 ml
Style Slim Water Bottle
Material type Phthalate free, non-toxic, BPA free plastic
Number of items 1
Seasons All Weather
Sport Golf, Exercise & Fitness, Running
Volume capacity 600 Millilitres
Included components 1 x Drinks Bottle
Batteries included? No
Brand Ion8
Department Children's
Manufacturer ion8
Item model number B08HQMSDCQ
Product Dimensions 7 x 6.5 x 23 cm; 141 Grams
ASIN B08HQMSDCQ
",plastic,other,141g,600ml,7,6.5,23,container,1,1,1,1,1,1,cylindrical,0,bottle
420,"Snug Flask for Kids - Vacuum Insulated Water Bottle with Straw (Robots)
Colour Robots
Brand Snug
Capacity 0.5 litres
Material Stainless Steel
Item weight 0.6 Pounds
Keep drinks hot or cold all the way until lunch! The Snug kids thermos is the perfect way to send your child off to school with a delicious beverage to enjoy.
Push-button lid is convenient and hygienic - just press once and the lid flips up to reveal the straw. The lid also features a ring for carrying or fastening to a bag.
Choose from five fun themes: robots, sea creatures, cute cats, unicorns, and space exploration. Recommended for ages 3-15 years.
12 ounce capacity is a great size for kids - not too big, not too small, but just right. This kids flask fits perfectly with the Snug Kids lunch bag, sold separately.
Made from high quality stainless steel, this thermos will never rust, bend or break with regular use. Hand wash only - do not put in dishwasher.
Brand Snug
Model Number SNKTROBO
Colour Robots
Product Dimensions 19.81 x 7.9 x 7.59 cm; 272.16 Grams
Capacity 0.5 litres
Material Stainless Steel
Item Weight 272 g
","Snug Flask for Kids - Vacuum Insulated Water Bottle with Straw (Robots)
Keep drinks hot or cold all the way until lunch! The Snug kids thermos is the perfect way to send your child off to school with a delicious beverage to enjoy.
Push-button lid is convenient and hygienic - just press once and the lid flips up to reveal the straw. The lid also features a ring for carrying or fastening to a bag.
Choose from five fun themes: robots, sea creatures, cute cats, unicorns, and space exploration. Recommended for ages 3-15 years.
12 ounce capacity is a great size for kids - not too big, not too small, but just right. This kids flask fits perfectly with the Snug Kids lunch bag, sold separately.
Made from high quality stainless steel, this thermos will never rust, bend or break with regular use. Hand wash only - do not put in dishwasher.
","Colour Robots
Brand Snug
Capacity 0.5 litres
Material Stainless Steel
Item weight 0.6 Pounds
Brand Snug
Model Number SNKTROBO
Colour Robots
Product Dimensions 19.81 x 7.9 x 7.59 cm; 272.16 Grams
Capacity 0.5 litres
Material Stainless Steel
Item Weight 272 g
",metal,other,272g,0.5L,19.81,7.9,7.59,container,0,1,1,1,1,1,cylindrical,0,bottle
421,"Water Bottle Bottles With Straw Gym Sports Cycling Running Small Large 850ml/750ml/500ml Bpa Free Plastic Hydration Flask Travel Mug Water Bottle D24
Colour Blue
Material Plastic
Brand Diller
Transparent And Frosted Style Two Capacity 550ml(19oz) And 750ml(26oz) Suitable For Cycling-Fitness-Yoga-Hiking And Most Of Other Sports!
Drinks Bottle is Dishwasher Safe And Suitable For Hot or Cold Drinks
Made From Safe And Impact-Resistant Tritan Material; NO BPA, Phthalates, PVC, Lead or Cadmium
One-Hand Press-Button Operation to Have Easy And Quick Access to Water,Integrated Capacity Markings Help Monitor Daily Water Intake
Slim to Fit In Your Hand, Cup Holders And Bike Mounts; Lightweight To Fit In your bag
Color Blue
Size 550ml
Material type Plastic
Volume capacity 750 Millilitres
Batteries included? No
Brand Diller
Manufacturer Diller
Package Dimensions 19 x 12.5 x 7.8 cm; 200 Grams
ASIN B07TWWCWXN
","Water Bottle Bottles With Straw Gym Sports Cycling Running Small Large 850ml/750ml/500ml Bpa Free Plastic Hydration Flask Travel Mug Water Bottle D24
Transparent And Frosted Style Two Capacity 550ml(19oz) And 750ml(26oz) Suitable For Cycling-Fitness-Yoga-Hiking And Most Of Other Sports!
Drinks Bottle is Dishwasher Safe And Suitable For Hot or Cold Drinks
Made From Safe And Impact-Resistant Tritan Material; NO BPA, Phthalates, PVC, Lead or Cadmium
One-Hand Press-Button Operation to Have Easy And Quick Access to Water,Integrated Capacity Markings Help Monitor Daily Water Intake
Slim to Fit In Your Hand, Cup Holders And Bike Mounts; Lightweight To Fit In your bag
","Colour Blue
Material Plastic
Brand Diller
Color Blue
Size 550ml
Material type Plastic
Volume capacity 750 Millilitres
Batteries included? No
Brand Diller
Manufacturer Diller
Package Dimensions 19 x 12.5 x 7.8 cm; 200 Grams
ASIN B07TWWCWXN
",plastic,blue,200g,750ml,19,12.5,7.8,container,1,1,1,1,1,1,cylindrical,0,bottle
422,"Smiggle Wonder Stainless Steel Insulated Water Drink Bottle for Girls & Boys with Screw Lid & 500ml Capacity
Colour Mid Blue
Material Stainless Steel
Capacity 500 Millilitres
Brand Smiggle
500ml
7cm (Dia.) x 26cm (H)
BPA free
Double wall stainless steel body & screw lid
Shine finish and reflective surface
Brand Smiggle
Model Number 869657
Colour Mid Blue
Product Dimensions 7 x 7 x 26 cm; 348 Grams
Capacity 500 Millilitres
Material Stainless Steel
Item Weight 348 g
","Smiggle Wonder Stainless Steel Insulated Water Drink Bottle for Girls & Boys with Screw Lid & 500ml Capacity
500ml
7cm (Dia.) x 26cm (H)
BPA free
Double wall stainless steel body & screw lid
Shine finish and reflective surface
","Colour Mid Blue
Material Stainless Steel
Capacity 500 Millilitres
Brand Smiggle
Brand Smiggle
Model Number 869657
Colour Mid Blue
Product Dimensions 7 x 7 x 26 cm; 348 Grams
Capacity 500 Millilitres
Material Stainless Steel
Item Weight 348 g
",metal,other,348g,500ml,7,7,26,container,1,1,1,1,1,1,cylindrical,0,bottle
423,"Vacuum Insulated Flask 500ml/17.6oz Double Walled Stainless Steel Bottle with Cup for Coffee Tea Hot Drink and Cold Drink Travel Mug.(Gray, Set)
Brand GIOGD
Package Dimensions 25.8 x 19.2 x 7.1 cm; 570 Grams
Material Stainless Steel
Item Weight 570 g
","Vacuum Insulated Flask 500ml/17.6oz Double Walled Stainless Steel Bottle with Cup for Coffee Tea Hot Drink and Cold Drink Travel Mug.(Gray, Set)
","Brand GIOGD
Package Dimensions 25.8 x 19.2 x 7.1 cm; 570 Grams
Material Stainless Steel
Item Weight 570 g
",metal,grey,570g,500ml,25.8,19.2,7.1,container,0,1,1,1,1,1,cylindrical,0,bottle
424,"EZOWare 550ml Glass Water Bottle, Reusable Leak Proof Sports Bottles with Non-Slip Silicone Sleeve and Stainless Steel Lid for Home Office Yoga Gym Hot Cold Drinks
Colour Yellow and Green
Material Glass
Capacity 550 Millilitres
Brand EZOWare
[ HEALTHY OPTION ] Let go of plastic waste- EZOWare Glass Water Bottles are eco-friendly and crafted to be easy to carry with a generous capacity of 550ml. Making it easier than ever to ensure your daily water intake, start juicing and cleansing, or store other beverages.
[ HIGH-QUALITY GLASS ] Made with high clarity borosilicate glass, a resistant yet lightweight glass. Borosilicate glass is offers temperature resistance so you can chill your beverages in the fridge. The glass bottles are refrigerator safe and dishwasher safe.
[ EASY CARRYING AND PROTECTIVE SLEEVE ] Each bottle with an attached protective silicone rubber sleeve for hand grip and non-slip stability on tables or desks. The sleeve can be removed to use as a clear glass water bottle. Handle strap on the top of the lid to easy pull out of bags for on the go carry.
[ PRACTICAL AND ATTRACTIVE ] Airtight and watertight lid so your beverages are secure and ready to drink. Slim form that can easily fit in your backpack and larger bags or car cup holders. Comes in different colors ??an easy way to color code and identify your drinks, share with the family or gift to friends.
Set of 2 - Size [ Each ]: ?€7 x 21cm. Mouth opening width 2.8cm. Capacity 550ml. Bottle Material: Borosilicate Glass. Lid material: 304 Stainless Steel + Silicone + PP + Nylon string. Colors: Green / Yellow
Color Yellow and Green
Material type Glass
Volume capacity 550 Millilitres
Brand EZOWare
Manufacturer EZOWare
Manufacturer reference 885157007665
Package Dimensions 25.5 x 20.2 x 12.8 cm; 923 Grams
ASIN B0835Z2TV6
","EZOWare 550ml Glass Water Bottle, Reusable Leak Proof Sports Bottles with Non-Slip Silicone Sleeve and Stainless Steel Lid for Home Office Yoga Gym Hot Cold Drinks
[ HEALTHY OPTION ] Let go of plastic waste- EZOWare Glass Water Bottles are eco-friendly and crafted to be easy to carry with a generous capacity of 550ml. Making it easier than ever to ensure your daily water intake, start juicing and cleansing, or store other beverages.
[ HIGH-QUALITY GLASS ] Made with high clarity borosilicate glass, a resistant yet lightweight glass. Borosilicate glass is offers temperature resistance so you can chill your beverages in the fridge. The glass bottles are refrigerator safe and dishwasher safe.
[ EASY CARRYING AND PROTECTIVE SLEEVE ] Each bottle with an attached protective silicone rubber sleeve for hand grip and non-slip stability on tables or desks. The sleeve can be removed to use as a clear glass water bottle. Handle strap on the top of the lid to easy pull out of bags for on the go carry.
[ PRACTICAL AND ATTRACTIVE ] Airtight and watertight lid so your beverages are secure and ready to drink. Slim form that can easily fit in your backpack and larger bags or car cup holders. Comes in different colors ??an easy way to color code and identify your drinks, share with the family or gift to friends.
Set of 2 - Size [ Each ]: ?€7 x 21cm. Mouth opening width 2.8cm. Capacity 550ml. Bottle Material: Borosilicate Glass. Lid material: 304 Stainless Steel + Silicone + PP + Nylon string. Colors: Green / Yellow
","Colour Yellow and Green
Material Glass
Capacity 550 Millilitres
Brand EZOWare
Color Yellow and Green
Material type Glass
Volume capacity 550 Millilitres
Brand EZOWare
Manufacturer EZOWare
Manufacturer reference 885157007665
Package Dimensions 25.5 x 20.2 x 12.8 cm; 923 Grams
ASIN B0835Z2TV6
",glass,yellow,923g,550ml,25.5,20.2,12.8,container,0,1,1,1,1,1,cylindrical,0,bottle
425,"Newdora Sports Water Bottle with Flip Straw, Large BPA Free Drinking Bottle, Sports Flask, Leakproof Gym Bottle, Ideal for Sports Bike Running Hiking Yoga 24OZ 750ml
Colour Grey
Material Plastic
Capacity 680 Grams
Brand Newdora
??UNCTIONAL DESIGN??- [750 ml/ 24oz] Transparent bottle body ,easy to check the rest water. Designed with a bite valve,a removable straw, widening hand strap. Premium straw bottle, ideal for running, cycling, sports, travel and more.
??URABLE& ECO-FRIENDLY MATERIALS ??- Sports bottle made of durable 100% BPA Free PE, PS & food safe silicone Plastic, shatter-proof, scratch-resistant, leak-proof, eco-friendly, easy to clean, No odor & no plastic aftertaste. Drink healthy and detox.
??00% LEAK PROOF??- Its hypoallergenic silicon seals and the secure bite valve makes it 100% leak-proof, Being perfect for using with both cold and hot drinks. Please note: the bottle's operating temperatures: -10 to 90?C.
??ASY DRINK ANYWHERE??- Open nozzle with one hand, To be free when exercising. Sip anytime without splashing as you run or ride,Well designed to fit standard bike bottle holders and adult backpacks with an external pocket. Hydrate Your Body by Drinking Water the Easy and Fun way.
??FTER SELL SERVICE??- Quality is our priority,The lightweight Newdora water bottle with straw is under a 30 Day money back and 12-Month replacement that ensures your utter and complete satisfaction.
Color Grey
Material type Plastic
Volume capacity 750 Millilitres
Batteries included? No
Brand Newdora
Manufacturer Newdora
Package Dimensions 28.6 x 8.5 x 8.2 cm; 150 Grams
ASIN B07ZGFT4JN
","Newdora Sports Water Bottle with Flip Straw, Large BPA Free Drinking Bottle, Sports Flask, Leakproof Gym Bottle, Ideal for Sports Bike Running Hiking Yoga 24OZ 750ml
??UNCTIONAL DESIGN??- [750 ml/ 24oz] Transparent bottle body ,easy to check the rest water. Designed with a bite valve,a removable straw, widening hand strap. Premium straw bottle, ideal for running, cycling, sports, travel and more.
??URABLE& ECO-FRIENDLY MATERIALS ??- Sports bottle made of durable 100% BPA Free PE, PS & food safe silicone Plastic, shatter-proof, scratch-resistant, leak-proof, eco-friendly, easy to clean, No odor & no plastic aftertaste. Drink healthy and detox.
??00% LEAK PROOF??- Its hypoallergenic silicon seals and the secure bite valve makes it 100% leak-proof, Being perfect for using with both cold and hot drinks. Please note: the bottle's operating temperatures: -10 to 90?C.
??ASY DRINK ANYWHERE??- Open nozzle with one hand, To be free when exercising. Sip anytime without splashing as you run or ride,Well designed to fit standard bike bottle holders and adult backpacks with an external pocket. Hydrate Your Body by Drinking Water the Easy and Fun way.
??FTER SELL SERVICE??- Quality is our priority,The lightweight Newdora water bottle with straw is under a 30 Day money back and 12-Month replacement that ensures your utter and complete satisfaction.
","Colour Grey
Material Plastic
Capacity 680 Grams
Brand Newdora
Color Grey
Material type Plastic
Volume capacity 750 Millilitres
Batteries included? No
Brand Newdora
Manufacturer Newdora
Package Dimensions 28.6 x 8.5 x 8.2 cm; 150 Grams
ASIN B07ZGFT4JN
",plastic,grey,150g,750ml,28.6,8.5,8.2,container,0,1,1,1,1,1,cylindrical,0,bottle
426,"Thermos 162547 Eastman Tritan Hydration Bottle, Aubergine, 710 ml
Colour Aubergine
Material Plastic
Capacity 710 Millilitres
Brand Thermos
Made from BPA free, impact resistant & dishwasher safe Eastman Tritan??copolyester
Lid with one-handed push button operation and locking latch for extra security
Measuring guide to help monitor daily intake
Flip up carrying loop
5 year guarantee
Brand Thermos
Model Number 162547
Colour Aubergine
Package Dimensions 24.4 x 8.2 x 7.5 cm; 100 Grams
Capacity 710 Millilitres
Material Plastic
Item Weight 100 g
","Thermos 162547 Eastman Tritan Hydration Bottle, Aubergine, 710 ml
Made from BPA free, impact resistant & dishwasher safe Eastman Tritan??copolyester
Lid with one-handed push button operation and locking latch for extra security
Measuring guide to help monitor daily intake
Flip up carrying loop
5 year guarantee
","Colour Aubergine
Material Plastic
Capacity 710 Millilitres
Brand Thermos
Brand Thermos
Model Number 162547
Colour Aubergine
Package Dimensions 24.4 x 8.2 x 7.5 cm; 100 Grams
Capacity 710 Millilitres
Material Plastic
Item Weight 100 g
",plastic,pink,100g,710ml,24.4,8.2,7.5,container,0,1,1,1,1,1,cylindrical,0,bottle
427,"Bottle
PREMIUM DESIGN AND FUNCTION - Filter included for wider usage. Suitable for both hot and cold drinks [-10 ??~ 95 ??. No matter indoors or outdoors, ADORIC drinking bottle is designed for all ages and all activities.
EASY TO CARRY AND USE - Lightweight and compact, nonslip and easy to hold with the groove design, and you can hang it up with the strap. One hand press the button and the lid opens to have a quick drink.
NON-TOXIC AND ECO-FRIENDLY MATERIALS - Made from the toughest and safest non-toxic BPA-free TRITAN plastic, lid made of food-grade PP material. Contribute to the protection of the environment and save money with the recyclable materials.
LEAK PROOF AND BIG CAPACITY - 100% secure and leak proof all the time. Hypoallergenic silicon seals the spout and vent completely while the cover is closed. 1000 ml / 1L water bottle fits the pockets on the backpack and bottle holder on your bicycle perfectly.
CUSTOMER SERVICE - Any questions about the product, please contact with us via email. We will reply you within 24 hrs
Manufacturer ADORIC
Package Dimensions 22.2 x 7.1 x 7 cm; 152 Grams
Batteries Required? No
Item Weight 152 g
","Bottle
PREMIUM DESIGN AND FUNCTION - Filter included for wider usage. Suitable for both hot and cold drinks [-10 ??~ 95 ??. No matter indoors or outdoors, ADORIC drinking bottle is designed for all ages and all activities.
EASY TO CARRY AND USE - Lightweight and compact, nonslip and easy to hold with the groove design, and you can hang it up with the strap. One hand press the button and the lid opens to have a quick drink.
NON-TOXIC AND ECO-FRIENDLY MATERIALS - Made from the toughest and safest non-toxic BPA-free TRITAN plastic, lid made of food-grade PP material. Contribute to the protection of the environment and save money with the recyclable materials.
LEAK PROOF AND BIG CAPACITY - 100% secure and leak proof all the time. Hypoallergenic silicon seals the spout and vent completely while the cover is closed. 1000 ml / 1L water bottle fits the pockets on the backpack and bottle holder on your bicycle perfectly.
CUSTOMER SERVICE - Any questions about the product, please contact with us via email. We will reply you within 24 hrs
","Manufacturer ADORIC
Package Dimensions 22.2 x 7.1 x 7 cm; 152 Grams
Batteries Required? No
Item Weight 152 g
",plastic,black,152g,1000ml,22.2,7.1,7,container,1,1,1,1,1,1,cylindrical,0,bottle
428,"Pokemon Pikachu and Characters 724ml Sports Water Plastic Bottle
Colour Black
Material Plastic
Brand Pokemon
Officially licensed Pokemon merchandise
Perfect for any little trainer
Featuring an epic Pikachu and characters print
Easy to use none spill lid, hold up to 724ml
100% plastic
Brand Pokemon
Model Number 5056210160558
Colour Black
Product Dimensions 23.5 x 23.5 x 7 cm; 90 Grams
Material Plastic
Item Weight 90 g
","Pokemon Pikachu and Characters 724ml Sports Water Plastic Bottle
Officially licensed Pokemon merchandise
Perfect for any little trainer
Featuring an epic Pikachu and characters print
Easy to use none spill lid, hold up to 724ml
100% plastic
","Colour Black
Material Plastic
Brand Pokemon
Brand Pokemon
Model Number 5056210160558
Colour Black
Product Dimensions 23.5 x 23.5 x 7 cm; 90 Grams
Material Plastic
Item Weight 90 g
",plastic,black,90g,724ml,23.5,23.5,7,container,1,1,1,1,1,1,cylindrical,0,bottle
